ROWID,Country,State LGD Code,State,SourceYear,"State wise Macro Nutrient Status for Cycle I, Cycle II ,Cycle III","Fertilizers used in cycle namely Nitrogen, phosphorous, Potassium, organic carbon",Fertilizers level,Count of Nutrient status involved in three cycles,Samples under each cycle,YearCode,Year
502,India,33,TAMIL NADU,2015-16,Cycle 1,Nitrogen (N),VH,917,1148927,2015,"Financial Year (Apr - Mar), 2015"
503,India,33,TAMIL NADU,2015-16,Cycle 1,Nitrogen (N),M,22644,1148927,2015,"Financial Year (Apr - Mar), 2015"
504,India,33,TAMIL NADU,2015-16,Cycle 1,Organic Carbon (OC),VH,29473,1148927,2015,"Financial Year (Apr - Mar), 2015"
505,India,33,TAMIL NADU,2015-16,Cycle 1,Organic Carbon (OC),H,43148,1148927,2015,"Financial Year (Apr - Mar), 2015"
506,India,33,TAMIL NADU,2015-16,Cycle 1,Potassium (K),VH,80774,1148927,2015,"Financial Year (Apr - Mar), 2015"
507,India,33,TAMIL NADU,2015-16,Cycle 1,Phosphorous (P),H,132764,1148927,2015,"Financial Year (Apr - Mar), 2015"
508,India,33,TAMIL NADU,2015-16,Cycle 1,Potassium (K),VL,136375,1148927,2015,"Financial Year (Apr - Mar), 2015"
509,India,33,TAMIL NADU,2015-16,Cycle 1,Phosphorous (P),VH,168419,1148927,2015,"Financial Year (Apr - Mar), 2015"
510,India,33,TAMIL NADU,2015-16,Cycle 1,Organic Carbon (OC),M,171823,1148927,2015,"Financial Year (Apr - Mar), 2015"
511,India,33,TAMIL NADU,2015-16,Cycle 1,Potassium (K),H,224206,1148927,2015,"Financial Year (Apr - Mar), 2015"
512,India,33,TAMIL NADU,2015-16,Cycle 1,Phosphorous (P),VL,261190,1148927,2015,"Financial Year (Apr - Mar), 2015"
513,India,33,TAMIL NADU,2015-16,Cycle 1,Potassium (K),L,280731,1148927,2015,"Financial Year (Apr - Mar), 2015"
514,India,33,TAMIL NADU,2015-16,Cycle 1,Phosphorous (P),L,301743,1148927,2015,"Financial Year (Apr - Mar), 2015"
515,India,33,TAMIL NADU,2015-16,Cycle 1,Phosphorous (P),M,360982,1148927,2015,"Financial Year (Apr - Mar), 2015"
516,India,33,TAMIL NADU,2015-16,Cycle 1,Organic Carbon (OC),VL,375028,1148927,2015,"Financial Year (Apr - Mar), 2015"
517,India,33,TAMIL NADU,2015-16,Cycle 1,Potassium (K),M,502525,1148927,2015,"Financial Year (Apr - Mar), 2015"
518,India,33,TAMIL NADU,2015-16,Cycle 1,Nitrogen (N),L,595037,1148927,2015,"Financial Year (Apr - Mar), 2015"
519,India,33,TAMIL NADU,2015-16,Cycle 1,Organic Carbon (OC),L,599761,1148927,2015,"Financial Year (Apr - Mar), 2015"
520,India,33,TAMIL NADU,2015-16,Cycle 1,Nitrogen (N),VL,600058,1148927,2015,"Financial Year (Apr - Mar), 2015"
521,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Phosphorous (P),VH,0,1295432,2015,"Financial Year (Apr - Mar), 2015"
522,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Potassium (K),VH,0,1295432,2015,"Financial Year (Apr - Mar), 2015"
523,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Phosphorous (P),VL,0,1295432,2015,"Financial Year (Apr - Mar), 2015"
524,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Potassium (K),VL,0,1295432,2015,"Financial Year (Apr - Mar), 2015"
525,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Nitrogen (N),VH,2906,1295432,2015,"Financial Year (Apr - Mar), 2015"
526,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Nitrogen (N),H,3153,1295432,2015,"Financial Year (Apr - Mar), 2015"
527,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Nitrogen (N),M,63930,1295432,2015,"Financial Year (Apr - Mar), 2015"
528,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Organic Carbon (OC),VL,113765,1295432,2015,"Financial Year (Apr - Mar), 2015"
529,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Phosphorous (P),L,136728,1295432,2015,"Financial Year (Apr - Mar), 2015"
530,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Organic Carbon (OC),VH,167015,1295432,2015,"Financial Year (Apr - Mar), 2015"
531,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Organic Carbon (OC),M,193622,1295432,2015,"Financial Year (Apr - Mar), 2015"
532,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Organic Carbon (OC),H,252537,1295432,2015,"Financial Year (Apr - Mar), 2015"
533,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Phosphorous (P),M,270766,1295432,2015,"Financial Year (Apr - Mar), 2015"
534,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Potassium (K),H,280395,1295432,2015,"Financial Year (Apr - Mar), 2015"
535,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Organic Carbon (OC),L,304154,1295432,2015,"Financial Year (Apr - Mar), 2015"
536,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Potassium (K),L,318483,1295432,2015,"Financial Year (Apr - Mar), 2015"
537,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Nitrogen (N),L,323210,1295432,2015,"Financial Year (Apr - Mar), 2015"
538,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Potassium (K),M,434576,1295432,2015,"Financial Year (Apr - Mar), 2015"
539,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Phosphorous (P),H,625203,1295432,2015,"Financial Year (Apr - Mar), 2015"
540,India,28,ANDHRA PRADESH,2015-16,Cycle 1,Nitrogen (N),VL,637886,1295432,2015,"Financial Year (Apr - Mar), 2015"
541,India,6,HARYANA,2015-16,Cycle 1,Nitrogen (N),H,4,1319769,2015,"Financial Year (Apr - Mar), 2015"
542,India,6,HARYANA,2015-16,Cycle 1,Nitrogen (N),VH,98,1319769,2015,"Financial Year (Apr - Mar), 2015"
543,India,6,HARYANA,2015-16,Cycle 1,Nitrogen (N),M,106,1319769,2015,"Financial Year (Apr - Mar), 2015"
544,India,6,HARYANA,2015-16,Cycle 1,Nitrogen (N),L,3032,1319769,2015,"Financial Year (Apr - Mar), 2015"
545,India,6,HARYANA,2015-16,Cycle 1,Organic Carbon (OC),H,3423,1319769,2015,"Financial Year (Apr - Mar), 2015"
546,India,6,HARYANA,2015-16,Cycle 1,Organic Carbon (OC),VH,6001,1319769,2015,"Financial Year (Apr - Mar), 2015"
547,India,6,HARYANA,2015-16,Cycle 1,Phosphorous (P),H,30102,1319769,2015,"Financial Year (Apr - Mar), 2015"
548,India,6,HARYANA,2015-16,Cycle 1,Phosphorous (P),VH,33432,1319769,2015,"Financial Year (Apr - Mar), 2015"
549,India,6,HARYANA,2015-16,Cycle 1,Organic Carbon (OC),M,38734,1319769,2015,"Financial Year (Apr - Mar), 2015"
550,India,6,HARYANA,2015-16,Cycle 1,Potassium (K),VH,56720,1319769,2015,"Financial Year (Apr - Mar), 2015"
551,India,6,HARYANA,2015-16,Cycle 1,Phosphorous (P),M,153808,1319769,2015,"Financial Year (Apr - Mar), 2015"
552,India,6,HARYANA,2015-16,Cycle 1,Potassium (K),VL,186844,1319769,2015,"Financial Year (Apr - Mar), 2015"
553,India,6,HARYANA,2015-16,Cycle 1,Nitrogen (N),VL,275475,1319769,2015,"Financial Year (Apr - Mar), 2015"
554,India,6,HARYANA,2015-16,Cycle 1,Potassium (K),H,281453,1319769,2015,"Financial Year (Apr - Mar), 2015"
555,India,6,HARYANA,2015-16,Cycle 1,Phosphorous (P),L,287760,1319769,2015,"Financial Year (Apr - Mar), 2015"
556,India,6,HARYANA,2015-16,Cycle 1,Potassium (K),L,287884,1319769,2015,"Financial Year (Apr - Mar), 2015"
557,India,6,HARYANA,2015-16,Cycle 1,Organic Carbon (OC),VL,332458,1319769,2015,"Financial Year (Apr - Mar), 2015"
558,India,6,HARYANA,2015-16,Cycle 1,Potassium (K),M,485681,1319769,2015,"Financial Year (Apr - Mar), 2015"
559,India,6,HARYANA,2015-16,Cycle 1,Phosphorous (P),VL,796302,1319769,2015,"Financial Year (Apr - Mar), 2015"
560,India,6,HARYANA,2015-16,Cycle 1,Organic Carbon (OC),L,923150,1319769,2015,"Financial Year (Apr - Mar), 2015"
561,India,23,MADHYA PRADESH,2015-16,Cycle 1,Nitrogen (N),VH,2411,1471351,2015,"Financial Year (Apr - Mar), 2015"
562,India,23,MADHYA PRADESH,2015-16,Cycle 1,Nitrogen (N),H,7738,1471351,2015,"Financial Year (Apr - Mar), 2015"
563,India,23,MADHYA PRADESH,2015-16,Cycle 1,Phosphorous (P),VH,25595,1471351,2015,"Financial Year (Apr - Mar), 2015"
564,India,23,MADHYA PRADESH,2015-16,Cycle 1,Phosphorous (P),H,35550,1471351,2015,"Financial Year (Apr - Mar), 2015"
565,India,23,MADHYA PRADESH,2015-16,Cycle 1,Potassium (K),VH,37160,1471351,2015,"Financial Year (Apr - Mar), 2015"
566,India,23,MADHYA PRADESH,2015-16,Cycle 1,Potassium (K),VL,46128,1471351,2015,"Financial Year (Apr - Mar), 2015"
567,India,23,MADHYA PRADESH,2015-16,Cycle 1,Organic Carbon (OC),VL,83986,1471351,2015,"Financial Year (Apr - Mar), 2015"
568,India,23,MADHYA PRADESH,2015-16,Cycle 1,Nitrogen (N),VL,98401,1471351,2015,"Financial Year (Apr - Mar), 2015"
569,India,23,MADHYA PRADESH,2015-16,Cycle 1,Potassium (K),L,114376,1471351,2015,"Financial Year (Apr - Mar), 2015"
570,India,23,MADHYA PRADESH,2015-16,Cycle 1,Organic Carbon (OC),VH,131926,1471351,2015,"Financial Year (Apr - Mar), 2015"
571,India,23,MADHYA PRADESH,2015-16,Cycle 1,Organic Carbon (OC),H,212242,1471351,2015,"Financial Year (Apr - Mar), 2015"
572,India,23,MADHYA PRADESH,2015-16,Cycle 1,Phosphorous (P),VL,273724,1471351,2015,"Financial Year (Apr - Mar), 2015"
573,India,23,MADHYA PRADESH,2015-16,Cycle 1,Nitrogen (N),M,295880,1471351,2015,"Financial Year (Apr - Mar), 2015"
574,India,23,MADHYA PRADESH,2015-16,Cycle 1,Organic Carbon (OC),L,455029,1471351,2015,"Financial Year (Apr - Mar), 2015"
575,India,23,MADHYA PRADESH,2015-16,Cycle 1,Phosphorous (P),M,458006,1471351,2015,"Financial Year (Apr - Mar), 2015"
576,India,23,MADHYA PRADESH,2015-16,Cycle 1,Potassium (K),H,507177,1471351,2015,"Financial Year (Apr - Mar), 2015"
577,India,23,MADHYA PRADESH,2015-16,Cycle 1,Organic Carbon (OC),M,549901,1471351,2015,"Financial Year (Apr - Mar), 2015"
578,India,23,MADHYA PRADESH,2015-16,Cycle 1,Phosphorous (P),L,641781,1471351,2015,"Financial Year (Apr - Mar), 2015"
579,India,23,MADHYA PRADESH,2015-16,Cycle 1,Potassium (K),M,728208,1471351,2015,"Financial Year (Apr - Mar), 2015"
580,India,23,MADHYA PRADESH,2015-16,Cycle 1,Nitrogen (N),L,1010175,1471351,2015,"Financial Year (Apr - Mar), 2015"
696,India,7,DELHI,2017-18,Cycle 2,Potassium (K),M,393,1090,2017,"Financial Year (Apr - Mar), 2017"
581,India,29,KARNATAKA,2015-16,Cycle 1,Nitrogen (N),H,41814,1532690,2015,"Financial Year (Apr - Mar), 2015"
582,India,29,KARNATAKA,2015-16,Cycle 1,Nitrogen (N),VH,77054,1532690,2015,"Financial Year (Apr - Mar), 2015"
583,India,29,KARNATAKA,2015-16,Cycle 1,Potassium (K),VH,78838,1532690,2015,"Financial Year (Apr - Mar), 2015"
584,India,29,KARNATAKA,2015-16,Cycle 1,Potassium (K),VL,155627,1532690,2015,"Financial Year (Apr - Mar), 2015"
585,India,29,KARNATAKA,2015-16,Cycle 1,Phosphorous (P),VL,175397,1532690,2015,"Financial Year (Apr - Mar), 2015"
586,India,29,KARNATAKA,2015-16,Cycle 1,Nitrogen (N),VL,181454,1532690,2015,"Financial Year (Apr - Mar), 2015"
587,India,29,KARNATAKA,2015-16,Cycle 1,Organic Carbon (OC),VH,196346,1532690,2015,"Financial Year (Apr - Mar), 2015"
588,India,29,KARNATAKA,2015-16,Cycle 1,Phosphorous (P),H,199355,1532690,2015,"Financial Year (Apr - Mar), 2015"
589,India,29,KARNATAKA,2015-16,Cycle 1,Organic Carbon (OC),H,204937,1532690,2015,"Financial Year (Apr - Mar), 2015"
590,India,29,KARNATAKA,2015-16,Cycle 1,Nitrogen (N),M,208021,1532690,2015,"Financial Year (Apr - Mar), 2015"
591,India,29,KARNATAKA,2015-16,Cycle 1,Nitrogen (N),L,211962,1532690,2015,"Financial Year (Apr - Mar), 2015"
592,India,29,KARNATAKA,2015-16,Cycle 1,Potassium (K),L,213596,1532690,2015,"Financial Year (Apr - Mar), 2015"
593,India,29,KARNATAKA,2015-16,Cycle 1,Organic Carbon (OC),VL,244232,1532690,2015,"Financial Year (Apr - Mar), 2015"
594,India,29,KARNATAKA,2015-16,Cycle 1,Phosphorous (P),VH,270611,1532690,2015,"Financial Year (Apr - Mar), 2015"
595,India,29,KARNATAKA,2015-16,Cycle 1,Phosphorous (P),L,343138,1532690,2015,"Financial Year (Apr - Mar), 2015"
596,India,29,KARNATAKA,2015-16,Cycle 1,Organic Carbon (OC),M,405043,1532690,2015,"Financial Year (Apr - Mar), 2015"
597,India,29,KARNATAKA,2015-16,Cycle 1,Organic Carbon (OC),L,535859,1532690,2015,"Financial Year (Apr - Mar), 2015"
598,India,29,KARNATAKA,2015-16,Cycle 1,Potassium (K),H,547363,1532690,2015,"Financial Year (Apr - Mar), 2015"
599,India,29,KARNATAKA,2015-16,Cycle 1,Potassium (K),M,601392,1532690,2015,"Financial Year (Apr - Mar), 2015"
600,India,29,KARNATAKA,2015-16,Cycle 1,Phosphorous (P),M,607858,1532690,2015,"Financial Year (Apr - Mar), 2015"
601,India,27,MAHARASHTRA,2015-16,Cycle 1,Potassium (K),VL,43638,2495394,2015,"Financial Year (Apr - Mar), 2015"
602,India,27,MAHARASHTRA,2015-16,Cycle 1,Potassium (K),L,87067,2495394,2015,"Financial Year (Apr - Mar), 2015"
603,India,27,MAHARASHTRA,2015-16,Cycle 1,Nitrogen (N),H,117547,2495394,2015,"Financial Year (Apr - Mar), 2015"
604,India,27,MAHARASHTRA,2015-16,Cycle 1,Nitrogen (N),VH,119293,2495394,2015,"Financial Year (Apr - Mar), 2015"
605,India,27,MAHARASHTRA,2015-16,Cycle 1,Phosphorous (P),VL,206017,2495394,2015,"Financial Year (Apr - Mar), 2015"
606,India,27,MAHARASHTRA,2015-16,Cycle 1,Organic Carbon (OC),VH,212609,2495394,2015,"Financial Year (Apr - Mar), 2015"
607,India,27,MAHARASHTRA,2015-16,Cycle 1,Organic Carbon (OC),H,239079,2495394,2015,"Financial Year (Apr - Mar), 2015"
608,India,27,MAHARASHTRA,2015-16,Cycle 1,Phosphorous (P),H,254667,2495394,2015,"Financial Year (Apr - Mar), 2015"
609,India,27,MAHARASHTRA,2015-16,Cycle 1,Organic Carbon (OC),VL,292524,2495394,2015,"Financial Year (Apr - Mar), 2015"
610,India,27,MAHARASHTRA,2015-16,Cycle 1,Nitrogen (N),VL,328138,2495394,2015,"Financial Year (Apr - Mar), 2015"
611,India,27,MAHARASHTRA,2015-16,Cycle 1,Phosphorous (P),VH,329104,2495394,2015,"Financial Year (Apr - Mar), 2015"
612,India,27,MAHARASHTRA,2015-16,Cycle 1,Potassium (K),VH,383571,2495394,2015,"Financial Year (Apr - Mar), 2015"
613,India,27,MAHARASHTRA,2015-16,Cycle 1,Phosphorous (P),L,567936,2495394,2015,"Financial Year (Apr - Mar), 2015"
614,India,27,MAHARASHTRA,2015-16,Cycle 1,Nitrogen (N),L,659507,2495394,2015,"Financial Year (Apr - Mar), 2015"
615,India,27,MAHARASHTRA,2015-16,Cycle 1,Organic Carbon (OC),M,684847,2495394,2015,"Financial Year (Apr - Mar), 2015"
616,India,27,MAHARASHTRA,2015-16,Cycle 1,Potassium (K),M,795484,2495394,2015,"Financial Year (Apr - Mar), 2015"
617,India,27,MAHARASHTRA,2015-16,Cycle 1,Nitrogen (N),M,814555,2495394,2015,"Financial Year (Apr - Mar), 2015"
618,India,27,MAHARASHTRA,2015-16,Cycle 1,Organic Carbon (OC),L,971784,2495394,2015,"Financial Year (Apr - Mar), 2015"
619,India,27,MAHARASHTRA,2015-16,Cycle 1,Phosphorous (P),M,1054925,2495394,2015,"Financial Year (Apr - Mar), 2015"
620,India,27,MAHARASHTRA,2015-16,Cycle 1,Potassium (K),H,1102887,2495394,2015,"Financial Year (Apr - Mar), 2015"
621,India,24,GUJARAT,2015-16,Cycle 1,Nitrogen (N),H,135,2908708,2015,"Financial Year (Apr - Mar), 2015"
622,India,24,GUJARAT,2015-16,Cycle 1,Nitrogen (N),VH,165,2908708,2015,"Financial Year (Apr - Mar), 2015"
623,India,24,GUJARAT,2015-16,Cycle 1,Nitrogen (N),M,2964,2908708,2015,"Financial Year (Apr - Mar), 2015"
624,India,24,GUJARAT,2015-16,Cycle 1,Nitrogen (N),L,6031,2908708,2015,"Financial Year (Apr - Mar), 2015"
625,India,24,GUJARAT,2015-16,Cycle 1,Potassium (K),VH,37147,2908708,2015,"Financial Year (Apr - Mar), 2015"
626,India,24,GUJARAT,2015-16,Cycle 1,Phosphorous (P),VH,88921,2908708,2015,"Financial Year (Apr - Mar), 2015"
627,India,24,GUJARAT,2015-16,Cycle 1,Potassium (K),L,102795,2908708,2015,"Financial Year (Apr - Mar), 2015"
628,India,24,GUJARAT,2015-16,Cycle 1,Organic Carbon (OC),VL,145463,2908708,2015,"Financial Year (Apr - Mar), 2015"
629,India,24,GUJARAT,2015-16,Cycle 1,Potassium (K),VL,163967,2908708,2015,"Financial Year (Apr - Mar), 2015"
630,India,24,GUJARAT,2015-16,Cycle 1,Phosphorous (P),VL,193497,2908708,2015,"Financial Year (Apr - Mar), 2015"
631,India,24,GUJARAT,2015-16,Cycle 1,Organic Carbon (OC),VH,203282,2908708,2015,"Financial Year (Apr - Mar), 2015"
632,India,24,GUJARAT,2015-16,Cycle 1,Phosphorous (P),L,284596,2908708,2015,"Financial Year (Apr - Mar), 2015"
633,India,24,GUJARAT,2015-16,Cycle 1,Organic Carbon (OC),H,351673,2908708,2015,"Financial Year (Apr - Mar), 2015"
634,India,24,GUJARAT,2015-16,Cycle 1,Phosphorous (P),H,407405,2908708,2015,"Financial Year (Apr - Mar), 2015"
635,India,24,GUJARAT,2015-16,Cycle 1,Organic Carbon (OC),M,767723,2908708,2015,"Financial Year (Apr - Mar), 2015"
636,India,24,GUJARAT,2015-16,Cycle 1,Organic Carbon (OC),L,780712,2908708,2015,"Financial Year (Apr - Mar), 2015"
637,India,24,GUJARAT,2015-16,Cycle 1,Potassium (K),H,924010,2908708,2015,"Financial Year (Apr - Mar), 2015"
638,India,24,GUJARAT,2015-16,Cycle 1,Potassium (K),M,1025117,2908708,2015,"Financial Year (Apr - Mar), 2015"
639,India,24,GUJARAT,2015-16,Cycle 1,Nitrogen (N),VL,1174821,2908708,2015,"Financial Year (Apr - Mar), 2015"
640,India,24,GUJARAT,2015-16,Cycle 1,Phosphorous (P),M,1281632,2908708,2015,"Financial Year (Apr - Mar), 2015"
641,India,8,RAJASTHAN,2015-16,Cycle 1,Nitrogen (N),VH,0,4348127,2015,"Financial Year (Apr - Mar), 2015"
642,India,8,RAJASTHAN,2015-16,Cycle 1,Nitrogen (N),H,1,4348127,2015,"Financial Year (Apr - Mar), 2015"
643,India,8,RAJASTHAN,2015-16,Cycle 1,Nitrogen (N),M,6,4348127,2015,"Financial Year (Apr - Mar), 2015"
644,India,8,RAJASTHAN,2015-16,Cycle 1,Nitrogen (N),L,7,4348127,2015,"Financial Year (Apr - Mar), 2015"
645,India,8,RAJASTHAN,2015-16,Cycle 1,Phosphorous (P),VH,31124,4348127,2015,"Financial Year (Apr - Mar), 2015"
646,India,8,RAJASTHAN,2015-16,Cycle 1,Organic Carbon (OC),VH,31890,4348127,2015,"Financial Year (Apr - Mar), 2015"
647,India,8,RAJASTHAN,2015-16,Cycle 1,Potassium (K),VH,65948,4348127,2015,"Financial Year (Apr - Mar), 2015"
648,India,8,RAJASTHAN,2015-16,Cycle 1,Potassium (K),VL,72103,4348127,2015,"Financial Year (Apr - Mar), 2015"
649,India,8,RAJASTHAN,2015-16,Cycle 1,Phosphorous (P),VL,94278,4348127,2015,"Financial Year (Apr - Mar), 2015"
650,India,8,RAJASTHAN,2015-16,Cycle 1,Organic Carbon (OC),H,115274,4348127,2015,"Financial Year (Apr - Mar), 2015"
651,India,8,RAJASTHAN,2015-16,Cycle 1,Potassium (K),L,348858,4348127,2015,"Financial Year (Apr - Mar), 2015"
652,India,8,RAJASTHAN,2015-16,Cycle 1,Nitrogen (N),VL,364659,4348127,2015,"Financial Year (Apr - Mar), 2015"
653,India,8,RAJASTHAN,2015-16,Cycle 1,Phosphorous (P),H,381394,4348127,2015,"Financial Year (Apr - Mar), 2015"
654,India,8,RAJASTHAN,2015-16,Cycle 1,Organic Carbon (OC),M,661460,4348127,2015,"Financial Year (Apr - Mar), 2015"
655,India,8,RAJASTHAN,2015-16,Cycle 1,Phosphorous (P),L,901622,4348127,2015,"Financial Year (Apr - Mar), 2015"
656,India,8,RAJASTHAN,2015-16,Cycle 1,Potassium (K),H,1095373,4348127,2015,"Financial Year (Apr - Mar), 2015"
657,India,8,RAJASTHAN,2015-16,Cycle 1,Organic Carbon (OC),VL,1370408,4348127,2015,"Financial Year (Apr - Mar), 2015"
658,India,8,RAJASTHAN,2015-16,Cycle 1,Organic Carbon (OC),L,2043085,4348127,2015,"Financial Year (Apr - Mar), 2015"
659,India,8,RAJASTHAN,2015-16,Cycle 1,Potassium (K),M,2639890,4348127,2015,"Financial Year (Apr - Mar), 2015"
660,India,8,RAJASTHAN,2015-16,Cycle 1,Phosphorous (P),M,2813760,4348127,2015,"Financial Year (Apr - Mar), 2015"
661,India,9,UTTAR PRADESH,2015-16,Cycle 1,Nitrogen (N),H,1161,5025013,2015,"Financial Year (Apr - Mar), 2015"
662,India,9,UTTAR PRADESH,2015-16,Cycle 1,Nitrogen (N),VH,6687,5025013,2015,"Financial Year (Apr - Mar), 2015"
663,India,9,UTTAR PRADESH,2015-16,Cycle 1,Phosphorous (P),H,15331,5025013,2015,"Financial Year (Apr - Mar), 2015"
664,India,9,UTTAR PRADESH,2015-16,Cycle 1,Potassium (K),VH,16656,5025013,2015,"Financial Year (Apr - Mar), 2015"
665,India,9,UTTAR PRADESH,2015-16,Cycle 1,Nitrogen (N),M,63120,5025013,2015,"Financial Year (Apr - Mar), 2015"
666,India,9,UTTAR PRADESH,2015-16,Cycle 1,Organic Carbon (OC),H,63792,5025013,2015,"Financial Year (Apr - Mar), 2015"
667,India,9,UTTAR PRADESH,2015-16,Cycle 1,Phosphorous (P),VH,64340,5025013,2015,"Financial Year (Apr - Mar), 2015"
668,India,9,UTTAR PRADESH,2015-16,Cycle 1,Organic Carbon (OC),VH,90110,5025013,2015,"Financial Year (Apr - Mar), 2015"
669,India,9,UTTAR PRADESH,2015-16,Cycle 1,Potassium (K),H,134942,5025013,2015,"Financial Year (Apr - Mar), 2015"
670,India,9,UTTAR PRADESH,2015-16,Cycle 1,Potassium (K),VL,194233,5025013,2015,"Financial Year (Apr - Mar), 2015"
671,India,9,UTTAR PRADESH,2015-16,Cycle 1,Nitrogen (N),L,299351,5025013,2015,"Financial Year (Apr - Mar), 2015"
672,India,9,UTTAR PRADESH,2015-16,Cycle 1,Phosphorous (P),M,354370,5025013,2015,"Financial Year (Apr - Mar), 2015"
673,India,9,UTTAR PRADESH,2015-16,Cycle 1,Organic Carbon (OC),M,442747,5025013,2015,"Financial Year (Apr - Mar), 2015"
674,India,9,UTTAR PRADESH,2015-16,Cycle 1,Potassium (K),L,862509,5025013,2015,"Financial Year (Apr - Mar), 2015"
675,India,9,UTTAR PRADESH,2015-16,Cycle 1,Organic Carbon (OC),VL,1040948,5025013,2015,"Financial Year (Apr - Mar), 2015"
676,India,9,UTTAR PRADESH,2015-16,Cycle 1,Phosphorous (P),VL,1530960,5025013,2015,"Financial Year (Apr - Mar), 2015"
677,India,9,UTTAR PRADESH,2015-16,Cycle 1,Phosphorous (P),L,3030409,5025013,2015,"Financial Year (Apr - Mar), 2015"
678,India,9,UTTAR PRADESH,2015-16,Cycle 1,Organic Carbon (OC),L,3349143,5025013,2015,"Financial Year (Apr - Mar), 2015"
679,India,9,UTTAR PRADESH,2015-16,Cycle 1,Potassium (K),M,3777413,5025013,2015,"Financial Year (Apr - Mar), 2015"
680,India,9,UTTAR PRADESH,2015-16,Cycle 1,Nitrogen (N),VL,3857472,5025013,2015,"Financial Year (Apr - Mar), 2015"
681,India,7,DELHI,2017-18,Cycle 2,Nitrogen (N),VH,0,1090,2017,"Financial Year (Apr - Mar), 2017"
682,India,7,DELHI,2017-18,Cycle 2,Nitrogen (N),H,2,1090,2017,"Financial Year (Apr - Mar), 2017"
683,India,7,DELHI,2017-18,Cycle 2,Phosphorous (P),H,5,1090,2017,"Financial Year (Apr - Mar), 2017"
684,India,7,DELHI,2017-18,Cycle 2,Phosphorous (P),VH,5,1090,2017,"Financial Year (Apr - Mar), 2017"
685,India,7,DELHI,2017-18,Cycle 2,Potassium (K),VL,17,1090,2017,"Financial Year (Apr - Mar), 2017"
686,India,7,DELHI,2017-18,Cycle 2,Nitrogen (N),VL,24,1090,2017,"Financial Year (Apr - Mar), 2017"
687,India,7,DELHI,2017-18,Cycle 2,Organic Carbon (OC),VL,24,1090,2017,"Financial Year (Apr - Mar), 2017"
688,India,7,DELHI,2017-18,Cycle 2,Organic Carbon (OC),VH,26,1090,2017,"Financial Year (Apr - Mar), 2017"
689,India,7,DELHI,2017-18,Cycle 2,Potassium (K),VH,84,1090,2017,"Financial Year (Apr - Mar), 2017"
690,India,7,DELHI,2017-18,Cycle 2,Phosphorous (P),M,110,1090,2017,"Financial Year (Apr - Mar), 2017"
691,India,7,DELHI,2017-18,Cycle 2,Potassium (K),L,153,1090,2017,"Financial Year (Apr - Mar), 2017"
692,India,7,DELHI,2017-18,Cycle 2,Organic Carbon (OC),L,165,1090,2017,"Financial Year (Apr - Mar), 2017"
693,India,7,DELHI,2017-18,Cycle 2,Organic Carbon (OC),H,278,1090,2017,"Financial Year (Apr - Mar), 2017"
694,India,7,DELHI,2017-18,Cycle 2,Nitrogen (N),L,278,1090,2017,"Financial Year (Apr - Mar), 2017"
695,India,7,DELHI,2017-18,Cycle 2,Phosphorous (P),L,387,1090,2017,"Financial Year (Apr - Mar), 2017"
697,India,7,DELHI,2017-18,Cycle 2,Potassium (K),H,442,1090,2017,"Financial Year (Apr - Mar), 2017"
698,India,7,DELHI,2017-18,Cycle 2,Phosphorous (P),VL,582,1090,2017,"Financial Year (Apr - Mar), 2017"
699,India,7,DELHI,2017-18,Cycle 2,Organic Carbon (OC),M,597,1090,2017,"Financial Year (Apr - Mar), 2017"
700,India,7,DELHI,2017-18,Cycle 2,Nitrogen (N),M,786,1090,2017,"Financial Year (Apr - Mar), 2017"
701,India,19,WEST BENGAL,2017-18,Cycle 2,Nitrogen (N),VH,0,1150,2017,"Financial Year (Apr - Mar), 2017"
702,India,19,WEST BENGAL,2017-18,Cycle 2,Potassium (K),VH,6,1150,2017,"Financial Year (Apr - Mar), 2017"
703,India,19,WEST BENGAL,2017-18,Cycle 2,Nitrogen (N),H,18,1150,2017,"Financial Year (Apr - Mar), 2017"
704,India,19,WEST BENGAL,2017-18,Cycle 2,Nitrogen (N),VL,30,1150,2017,"Financial Year (Apr - Mar), 2017"
